"","count","ncat","improve","index","adj"
"petal_length",100,-1,0.576578405498679,0.734339555723751,0
"petal_width",100,-1,0.563903587895517,0.461590192911321,0
"sepal_length",100,-1,0.344566572895218,-0.113090012414076,0
"sepal_width",100,1,0.244285903025496,0.903905968842283,0
"petal_width",0,-1,0.97,0.724854561491922,0.833333333333333
"sepal_length",0,-1,0.9,1.09858869202244,0.444444444444445
"petal_length",82,-1,0.863718775181304,-0.715014830573129,0
"petal_width",82,-1,0.863718775181304,-0.591467281411086,0
"sepal_width",82,1,0.598825831702544,0.213315670066344,0
"sepal_length",82,-1,0.471080976579761,0.0686617932514007,0
"petal_width",0,-1,1,-0.591467281411086,1
"sepal_width",0,1,0.951219512195122,0.213315670066344,0.714285714285714
"sepal_length",0,-1,0.939024390243902,-0.355425753301379,0.642857142857143
"petal_width",68,-1,0.656565656565653,0.593222377201622,0
"sepal_length",68,1,0.492537313432837,-1.08243297596329,0
"sepal_width",68,1,0.227272727272728,-0.592373011838919,0
"petal_length",68,-1,0.106534090909089,0.592245988439743,0
"sepal_length",3,1,1,0.795669015913309,0
"sepal_width",3,1,1,-0.477274628709595,0
"petal_length",3,1,1,0.677502128810148,0
"petal_width",3,-1,0.25,0.724854561491922,0
